 INFO  Accepting connections at http://localhost:4173
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:04:29 ::1 Returned 404 in 4 ms
 HTTP  29/05/2026 09:04:29 ::1 Returned 404 in 4 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /settings/security/__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /settings/security/__next.settings.txt?_rsc=prFqFEkjx4kukZuv
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /settings/security/__next.settings.security.txt?_rsc=I6sGwkY-sizuibWP
 HTTP  29/05/2026 09:04:29 ::1 GET /settings/security/__next.settings.security.__PAGE__.txt?_rsc=QYNUb4tH0eviZRH8
 HTTP  29/05/2026 09:04:29 ::1 Returned 404 in 4 ms
 HTTP  29/05/2026 09:04:29 ::1 Returned 404 in 4 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /explore/__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /explore/__next.explore.txt?_rsc=G6V4FdO5DFPYYwEd
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /explore/__next.explore.__PAGE__.txt?_rsc=y5uIUfDQA6olE3D1
 HTTP  29/05/2026 09:04:29 ::1 Returned 404 in 2 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:04:29 ::1 GET /__next.__PAGE__.txt?_rsc=8nTjltbQWvg6NcbE
 HTTP  29/05/2026 09:04:29 ::1 Returned 200 in 3 ms
